Table S10. Characteristics of the 28,947 TEs annotated in the 47 genomes analyzed in this work that were transfered to the reference genome. "TEs used in the site frequency spectrum (SFS) analysis" are the result of filtering out the insertions < 120bp long  (28,365 TEs). "North America" and "Europe" refers to the number of strains containing that particular in those continents (see Table S15). "Other" refers to the TEs which are neither from Europe or North America.																					
TE name	Chromosome	Start	End	Strand	Class	Order	SuperFamily	Family	TE present in REF	Number of genomes present (47)	Genomes	TE name (in strain)	TE length c	TE ratio vs family consensus sequence (in strains)	Recombination rate Comeron et al 2012	Recombination rate Fiston-Lavier et al 2011	Recombination classification	TE used in SFS analysis	Europe	North_America	Other
FBti0019200	2L	18633668	18638390	-	RNA	LINE	Jockey	Doc	YES	1	ISO-1	FBti0019200	4722	.	.	.	.	YES	1	0	0
FBti0019276	2R	6664234	6665968	#ERROR!	DNA	TIR	TcMar-Tc1	S-element	YES	43	A2;ORE;A6;B6;B4;JUT-008;MUN-008;AB8;AKA-017;MUN-013;A3;STO-022;B2;GIM-012;AKA-018;JUT-011;COR-018;TEN-015;A4;A1;RAL-375;SLA-001;RAL-059;A7;MUN-015;KIE-094;GIM-024;RAL-737;LUN-007;COR-025;B1;RAL-426;COR-023;RAL-091;TOM-008;RAL-176;TOM-007;MUN-009;MUN-016;MUN-020;RAL-855;ISO-1;LUN-004	A2_411_S-element;ORE_417_S-element;A6_412_S-element;B6_412_S-element;B4_381_S-element;JUT-008_414_S-element;MUN-008_446_S-element;AB8_396_S-element;AKA-017_396_S-element;MUN-013_490_S-element;A3_371_S-element;STO-022_499_S-element;B2_427_S-element;GIM-012_405_S-element;AKA-018_455_S-element;JUT-011_421_S-element;COR-018_525_S-element;TEN-015_393_S-element;A4_393_S-element;A1_423_S-element;RAL-375_385_S-element;SLA-001_580_S-element;RAL-059_558_S-element;A7_425_S-element;MUN-015_386_S-element;KIE-094_409_S-element;GIM-024_389_S-element;RAL-737_412_S-element;LUN-007_490_S-element;COR-025_476_S-element;B1_386_S-element;RAL-426_473_S-element;COR-023_389_S-element;RAL-091_509_S-element;TOM-008_410_S-element;RAL-176_472_S-element;TOM-007_427_S-element;MUN-009_399_S-element;MUN-016_385_S-element;MUN-020_386_S-element;RAL-855_399_S-element;FBti0019276;LUN-004_389_S-element	1630;1744;1664;1744;1744;1744;1745;1744;1744;1741;1630;1738;1744;1744;1596;1741;1743;1742;1744;1744;1740;1742;1744;1750;1743;1742;1744;1749;1744;1744;1744;1746;1744;1742;1745;1754;1743;1747;1744;1743;1736;1734;1742	0.898;0.961;0.917;0.961;0.961;0.961;0.961;0.961;0.961;0.959;0.898;0.958;0.961;0.961;0.879;0.959;0.96;0.96;0.961;0.961;0.959;0.96;0.961;0.9640000000000001;0.96;0.96;0.961;0.964;0.961;0.961;0.961;0.962;0.961;0.96;0.961;0.966;0.96;0.963;0.961;0.96;0.956;.;0.96	0.542320919	0.225	HRR	YES	15	24	4
FBti0019975	2R	7262242	7269237	-	RNA	LTR	Gypsy	297	YES	1	ISO-1	FBti0019975	6995	.	.	.	.	YES	1	0	0
FBti0061742	2R	9870308	9870658	#ERROR!	RNA	LTR	Pao	rooA	YES	47	A2;ORE;A6;B6;B4;B3;JUT-008;MUN-008;AB8;AKA-017;MUN-013;A3;STO-022;B2;GIM-012;AKA-018;JUT-011;COR-018;TEN-015;RAL-177;A4;A1;RAL-375;SLA-001;RAL-059;A7;MUN-015;KIE-094;GIM-024;COR-014;RAL-737;LUN-007;A5;COR-025;B1;RAL-426;COR-023;RAL-091;TOM-008;RAL-176;TOM-007;MUN-009;MUN-016;MUN-020;RAL-855;ISO-1;LUN-004	A2_503_rooA;ORE_504_rooA;A6_500_rooA;B6_504_rooA;B4_463_rooA;B3_479_rooA;JUT-008_497_rooA;MUN-008_536_rooA;AB8_484_rooA;AKA-017_490_rooA;MUN-013_576_rooA;A3_471_rooA;STO-022_582_rooA;B2_525_rooA;GIM-012_503_rooA;AKA-018_548_rooA;JUT-011_510_rooA;COR-018_619_rooA;TEN-015_483_rooA;RAL-177_496_rooA;A4_481_rooA;A1_507_rooA;RAL-375_479_rooA;SLA-001_681_rooA;RAL-059_650_rooA;A7_512_rooA;MUN-015_465_rooA;KIE-094_492_rooA;GIM-024_472_rooA;COR-014_457_rooA;RAL-737_500_rooA;LUN-007_589_rooA;A5_489_rooA;COR-025_564_rooA;B1_475_rooA;RAL-426_579_rooA;COR-023_478_rooA;RAL-091_595_rooA;TOM-008_497_rooA;RAL-176_577_rooA;TOM-007_525_rooA;MUN-009_488_rooA;MUN-016_477_rooA;MUN-020_462_rooA;RAL-855_489_rooA;FBti0061742;LUN-004_476_rooA	350;350;350;350;350;350;350;350;350;350;350;350;350;350;350;350;350;350;350;350;350;350;349;350;350;350;350;343;350;350;350;350;350;350;350;350;350;350;350;350;350;350;350;350;350;350;350	0.046;0.046;0.046;0.046;0.046;0.046;0.046;0.046;0.046;0.046;0.046;0.046;0.046;0.046;0.046;0.046;0.046;0.046;0.046;0.046;0.046;0.046;0.046;0.046;0.046;0.046;0.046;0.045;0.046;0.046;0.046;0.046;0.046;0.046;0.046;0.046;0.046;0.046;0.046;0.046;0.046;0.046;0.046;0.046;0.046;.;0.046	1.084641837	1.79	HRR	YES	16	26	5
FBti0019985	2R	9871090	9871523	#ERROR!	RNA	LTR	Pao	roo	YES	34	A6;B6;B4;B3;MUN-008;AB8;AKA-017;MUN-013;A3;STO-022;GIM-012;AKA-018;JUT-011;COR-018;RAL-177;A4;A1;RAL-375;SLA-001;RAL-059;A7;MUN-015;KIE-094;GIM-024;RAL-737;LUN-007;RAL-426;RAL-091;TOM-008;RAL-176;TOM-007;MUN-020;ISO-1;LUN-004	A6_501_roo;B6_505_roo;B4_464_roo;B3_480_roo;MUN-008_537_roo;AB8_485_roo;AKA-017_491_roo;MUN-013_577_roo;A3_472_roo;STO-022_583_roo;GIM-012_504_roo;AKA-018_549_roo;JUT-011_511_roo;COR-018_620_roo;RAL-177_497_roo;A4_482_roo;A1_508_roo;RAL-375_480_roo;SLA-001_682_roo;RAL-059_651_roo;A7_513_roo;MUN-015_466_roo;KIE-094_493_roo;GIM-024_473_roo;RAL-737_501_roo;LUN-007_590_roo;RAL-426_580_roo;RAL-091_596_roo;TOM-008_498_roo;RAL-176_578_roo;TOM-007_526_roo;MUN-020_463_roo;FBti0019985;LUN-004_477_roo	427;427;434;434;434;430;9061;435;432;324;2223;434;9083;427;434;429;427;427;430;426;427;429;437;432;434;437;427;434;434;427;434;435;433;9119	0.045;0.045;0.046;0.046;0.046;0.045;0.957;0.046;0.046;0.034;0.235;0.046;0.959;0.045;0.046;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.046;0.046;0.046;0.046;0.045;0.046;0.046;0.045;0.046;0.046;.;0.963	1.084641837	1.79	HRR	YES	12	18	4
FBti0019279	2R	10005906	10007010	#ERROR!	DNA	TIR	P	1360	YES	3	TOM-008;ISO-1;RAL-855	TOM-008_503_1360;RAL-855_496_1360;FBti0019279	1108;1104;1104	0.239;0.238;.	0.759249286	1.835	HRR	YES	2	1	0
FBti0019010	2R	11134165	11134350	#ERROR!	DNA	TIR	TcMar-Pogo	pogo	YES	7	MUN-008;MUN-016;LUN-007;A7;ISO-1;LUN-004;MUN-015	MUN-008_573_pogo;A7_542_pogo;MUN-015_495_pogo;LUN-007_628_pogo;MUN-016_500_pogo;FBti0019010;LUN-004_509_pogo	186;186;185;167;186;185;186	0.083;0.083;0.083;0.075;0.083;.;0.083	4.121638981	2.3	HRR	YES	1	5	1
FBti0018937	2R	12501751	12503829	#ERROR!	RNA	LINE	R1	Rt1b	YES	6	COR-023;TOM-008;TOM-007;LUN-007;A3;ISO-1	A3_522_Rt1b;LUN-007_658_Rt1b;COR-023_530_Rt1b;TOM-008_556_Rt1b;TOM-007_575_Rt1b;FBti0018937	2075;313;2074;2023;2074;2078	0.406;0.061;0.406;0.396;0.406;.	3.362389695	2.73	HRR	YES	1	5	0
FBti0059793	2R	18032347	18032462	#ERROR!	DNA	TIR	hAT-hobo	H	YES	46	ORE;A6;B6;B4;B3;JUT-008;MUN-008;AB8;AKA-017;MUN-013;A3;STO-022;B2;GIM-012;AKA-018;JUT-011;COR-018;TEN-015;RAL-177;A4;A1;RAL-375;SLA-001;RAL-059;A7;MUN-015;KIE-094;GIM-024;COR-014;RAL-737;LUN-007;A5;COR-025;B1;RAL-426;COR-023;RAL-091;TOM-008;RAL-176;TOM-007;MUN-009;MUN-016;MUN-020;RAL-855;ISO-1;LUN-004	ORE_626_H;A6_627_H;B6_640_H;B4_615_H;B3_596_H;JUT-008_619_H;MUN-008_672_H;AB8_619_H;AKA-017_623_H;MUN-013_731_H;A3_587_H;STO-022_725_H;B2_666_H;GIM-012_645_H;AKA-018_778_H;JUT-011_642_H;COR-018_759_H;TEN-015_607_H;RAL-177_622_H;A4_608_H;A1_639_H;RAL-375_598_H;SLA-001_860_H;RAL-059_817_H;A7_642_H;MUN-015_589_H;KIE-094_640_H;GIM-024_604_H;COR-014_588_H;RAL-737_626_H;LUN-007_733_H;A5_637_H;COR-025_705_H;B1_597_H;RAL-426_733_H;COR-023_598_H;RAL-091_720_H;TOM-008_612_H;RAL-176_755_H;TOM-007_652_H;MUN-009_607_H;MUN-016_601_H;MUN-020_582_H;RAL-855_627_H;FBti0059793;LUN-004_605_H	120;121;120;120;120;120;112;120;120;121;120;120;124;120;120;120;121;120;120;120;120;121;120;121;120;120;121;120;120;121;121;120;120;121;125;120;127;121;127;120;120;121;120;127;115;121	0.04;0.04;0.04;0.04;0.04;0.04;0.037;0.04;0.04;0.04;0.04;0.04;0.040999999999999995;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.042;0.04;0.042;0.04;0.042;0.04;0.04;0.04;0.04;0.042;.;0.04	4.447031532	3.73	HRR	YES	15	26	5
FBti0018880	2R	18858291	18860019	#ERROR!	DNA	TIR	TcMar-Tc1	Bari1	YES	36	A2;ORE;B6;B4;B3;JUT-008;MUN-008;AB8;AKA-017;MUN-013;A3;B2;GIM-012;AKA-018;COR-018;TEN-015;A4;RAL-375;SLA-001;MUN-015;GIM-024;COR-014;LUN-007;A5;COR-025;B1;RAL-426;COR-023;RAL-091;TOM-008;RAL-176;MUN-009;MUN-016;RAL-855;ISO-1;LUN-004	A2_627_Bari1;ORE_632_Bari1;B6_652_Bari1;B4_623_Bari1;B3_607_Bari1;JUT-008_629_Bari1;MUN-008_680_Bari1;AB8_626_Bari1;AKA-017_625_Bari1;MUN-013_737_Bari1;A3_602_Bari1;B2_687_Bari1;GIM-012_656_Bari1;AKA-018_792_Bari1;AKA-018_790_Bari1;COR-018_778_Bari1;TEN-015_619_Bari1;A4_618_Bari1;RAL-375_607_Bari1;SLA-001_871_Bari1;MUN-015_599_Bari1;GIM-024_608_Bari1;COR-014_602_Bari1;LUN-007_817_Bari1;A5_648_Bari1;COR-025_712_Bari1;B1_609_Bari1;RAL-426_745_Bari1;COR-023_610_Bari1;RAL-091_752_Bari1;TOM-008_622_Bari1;RAL-176_772_Bari1;MUN-009_618_Bari1;MUN-016_614_Bari1;RAL-855_648_Bari1;FBti0018880;LUN-004_610_Bari1	1733;1733;1733;1733;1733;1734;1733;1733;1731;1732;1733;1733;1735;1564;163;1317;1732;1733;1729;1733;1732;1733;1733;1732;1730;1733;1733;1727;1733;1729;2151;1745;1733;1732;1731;1728;1733	0.982;0.982;0.982;0.982;0.982;0.982;0.982;0.982;0.981;0.981;0.982;0.982;0.983;0.886;0.092;0.746;0.981;0.982;0.98;0.982;0.981;0.982;0.982;0.981;0.98;0.982;0.982;0.978;0.982;0.98;1.219;0.989;0.982;0.981;0.981;.;0.982	8.894063065	3.76	HRR	YES	11	21	4
FBti0018940	2R	19728395	19728613	-	DNA	TIR	TcMar-Tc1	S-element	YES	1	ISO-1	FBti0018940	218	.	.	.	.	YES	1	0	0
FBti0020013	3L	1047496	1055161	-	RNA	LTR	Gypsy	412	YES	1	ISO-1	FBti0020013	7665	.	.	.	.	YES	1	0	0
FBti0020015	3L	1219647	1227237	#ERROR!	RNA	LTR	Gypsy	412	YES	1	ISO-1	FBti0020015	7590	.	.	.	.	YES	1	0	0
FBti0018916	2R	18111738	18115542	#ERROR!	RNA	LINE	Jockey	F-element	YES	2	COR-023;ISO-1	COR-023_604_F-element;FBti0018916	3803;3804	0.804;.	3.145461328	3.735	HRR	YES	1	1	0
FBti0020036	3L	4773711	4774361	#ERROR!	RNA	LINE	R1	Rt1a	YES	6	RAL-737;COR-014;MUN-009;MUN-020;AB8;ISO-1	AB8_728_Rt1a;COR-014_715_Rt1a;RAL-737_743_Rt1a;MUN-009_734_Rt1a;MUN-020_711_Rt1a;FBti0020036	533;632;533;533;533;650	0.098;0.116;0.098;0.098;0.098;.	2.215227346	3.355	HRR	YES	2	3	1
FBti0020046	3L	6040416	6042720	#ERROR!	RNA	LINE	Jockey	Doc	YES	11	AKA-018;GIM-024;SLA-001;RAL-059;AB8;LUN-007;A5;B2;ISO-1;LUN-004;MUN-015	AB8_743_Doc;B2_837_Doc;AKA-018_908_Doc;SLA-001_1007_Doc;RAL-059_944_Doc;MUN-015_725_Doc;GIM-024_704_Doc;LUN-007_957_Doc;A5_760_Doc;FBti0020046;LUN-004_754_Doc	2303;2303;2305;2304;2310;2304;2302;2306;2304;2304;2302	0.48100000000000004;0.48100000000000004;0.482;0.482;0.483;0.482;0.481;0.482;0.48200000000000004;.;0.481	0.899936109	3.4	HRR	YES	2	7	2
FBti0020057	3L	7130011	7130136	#ERROR!	RNA	LINE	Jockey	BS	YES	32	A2;ORE;B6;B4;JUT-008;AB8;AKA-017;MUN-013;A3;STO-022;GIM-012;AKA-018;JUT-011;TEN-015;A4;SLA-001;RAL-059;A7;MUN-015;KIE-094;GIM-024;COR-014;RAL-737;LUN-007;A5;COR-025;B1;RAL-176;MUN-020;RAL-855;ISO-1;LUN-004	A2_764_BS;ORE_757_BS;B6_795_BS;B4_763_BS;JUT-008_779_BS;AB8_755_BS;AKA-017_752_BS;MUN-013_881_BS;A3_754_BS;STO-022_857_BS;GIM-012_795_BS;AKA-018_917_BS;JUT-011_783_BS;TEN-015_768_BS;A4_733_BS;SLA-001_1026_BS;RAL-059_956_BS;A7_776_BS;MUN-015_734_BS;KIE-094_809_BS;GIM-024_715_BS;COR-014_749_BS;RAL-737_967_BS;LUN-007_976_BS;A5_773_BS;COR-025_870_BS;B1_748_BS;RAL-176_970_BS;MUN-020_742_BS;RAL-855_756_BS;FBti0020057;LUN-004_772_BS	125;125;125;125;125;125;124;125;125;125;125;125;125;125;125;125;127;126;125;125;125;125;125;125;125;125;125;125;125;125;125;124	0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.024;0.024;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;.;0.023	5.122713237	3.39	HRR	YES	10	19	3
FBti0020086	3L	10060167	10067688	#ERROR!	RNA	LTR	Gypsy	17-6	YES	29	ORE;B6;B4;B3;MUN-008;AB8;AKA-017;MUN-013;A3;GIM-012;AKA-018;COR-018;TEN-015;A4;A1;RAL-059;MUN-015;KIE-094;GIM-024;RAL-737;LUN-007;B1;COR-023;MUN-009;MUN-016;MUN-020;RAL-855;ISO-1;LUN-004	ORE_785_17-6;B6_828_17-6;B4_806_17-6;B3_783_17-6;MUN-008_869_17-6;MUN-008_865_17-6;AB8_786_17-6;AKA-017_784_17-6;MUN-013_910_17-6;A3_790_17-6;GIM-012_828_17-6;AKA-018_947_17-6;COR-018_971_17-6;COR-018_973_17-6;TEN-015_792_17-6;A4_762_17-6;A1_816_17-6;RAL-059_990_17-6;MUN-015_764_17-6;KIE-094_841_17-6;GIM-024_747_17-6;RAL-737_998_17-6;LUN-007_999_17-6;B1_791_17-6;COR-023_765_17-6;MUN-009_809_17-6;MUN-016_763_17-6;MUN-020_776_17-6;RAL-855_780_17-6;FBti0020086;LUN-004_809_17-6;LUN-004_807_17-6;LUN-004_808_17-6	7502;7542;7498;7502;7521;5151;7497;7531;7506;7538;7535;7535;5747;7507;7462;4501;7504;7514;7493;7508;7525;7510;7504;7490;11054;7487;7488;514;7513;7521;7497;3604;7505	0.965;0.97;0.965;0.965;0.968;0.663;0.965;0.969;0.966;0.97;0.97;0.97;0.739;0.966;0.96;0.579;0.966;0.967;0.964;0.966;0.968;0.966;0.966;0.9640000000000001;1.422;0.963;0.963;0.066;0.967;.;0.965;0.464;0.966	1.038387818	3.135	HRR	YES	9	17	3
FBti0020091	3L	11277515	11278450	#ERROR!	RNA	LINE	R1	Rt1a	YES	41	A2;ORE;A6;B6;B4;B3;JUT-008;AKA-017;MUN-013;A3;STO-022;B2;GIM-012;AKA-018;JUT-011;COR-018;TEN-015;RAL-177;A4;SLA-001;A7;MUN-015;KIE-094;GIM-024;COR-014;RAL-737;LUN-007;A5;COR-025;B1;COR-023;RAL-091;TOM-008;RAL-176;TOM-007;MUN-009;MUN-016;MUN-020;RAL-855;ISO-1;LUN-004	A2_806_Rt1a;ORE_799_Rt1a;A6_840_Rt1a;B6_837_Rt1a;B4_817_Rt1a;B3_801_Rt1a;JUT-008_818_Rt1a;AKA-017_804_Rt1a;MUN-013_978_Rt1a;A3_800_Rt1a;STO-022_902_Rt1a;B2_893_Rt1a;GIM-012_844_Rt1a;AKA-018_959_Rt1a;JUT-011_821_Rt1a;COR-018_990_Rt1a;TEN-015_814_Rt1a;RAL-177_801_Rt1a;A4_780_Rt1a;SLA-001_1076_Rt1a;A7_816_Rt1a;MUN-015_784_Rt1a;KIE-094_858_Rt1a;GIM-024_765_Rt1a;COR-014_808_Rt1a;RAL-737_1013_Rt1a;LUN-007_1017_Rt1a;A5_815_Rt1a;COR-025_918_Rt1a;B1_810_Rt1a;COR-023_781_Rt1a;RAL-091_1042_Rt1a;TOM-008_812_Rt1a;RAL-176_1022_Rt1a;TOM-007_862_Rt1a;MUN-009_826_Rt1a;MUN-016_776_Rt1a;MUN-020_793_Rt1a;RAL-855_794_Rt1a;FBti0020091;LUN-004_824_Rt1a	911;911;911;911;911;911;811;911;811;911;586;911;911;811;911;911;910;810;811;810;911;811;810;811;911;813;811;911;810;911;911;911;811;811;911;811;811;809;809;935;910	0.168;0.168;0.168;0.168;0.168;0.168;0.149;0.168;0.149;0.168;0.108;0.168;0.168;0.149;0.168;0.168;0.167;0.149;0.149;0.149;0.168;0.149;0.149;0.149;0.168;0.15;0.149;0.168;0.149;0.168;0.168;0.168;0.149;0.149;0.168;0.149;0.149;0.149;0.149;.;0.167	4.084325419	2.935	HRR	YES	12	25	4
FBti0020096	3L	11864607	11865846	#ERROR!	DNA	TIR	TcMar-Pogo	pogo	YES	11	GIM-012;COR-023;GIM-024;TOM-008;TEN-015;B1;A4;A1;LUN-007;B2;ISO-1	B2_908_pogo;GIM-012_855_pogo;TEN-015_821_pogo;A4_789_pogo;A1_845_pogo;GIM-024_779_pogo;LUN-007_1028_pogo;B1_820_pogo;COR-023_796_pogo;TOM-008_829_pogo;FBti0020096	1240;1250;1238;1240;1240;1239;1242;1240;1237;1240;1239	0.555;0.56;0.554;0.555;0.555;0.555;0.556;0.555;0.554;0.555;.	1.661420509	2.815	HRR	YES	3	6	2
